NAMES OF REVIEWERS,REVIEWS,DATE OF REVIEWS
"Robert of Fort Lauderdale, FL","I received my new medical watch a week ago and when I was setting it up I could not get the steps to work. Then called the rep that sold me the watch and he did not know how to setup the steps and he put me through to customer care, a lady got on the phone and she was unsure how to set it up so she put me on hold for 12 minutes then came back and tried a few things with me, still did not work, put me on hold again for another 11 minutes then came back and said someone would call me before 5pm today. Received a call a 4pm and was told they would be sending me a new watch and I would have to return the one I have to them. Overall I have wasted 2 hours of my day with the customer care and salesman","Original review: May 5, 2022"
"Thelma of Lancaster, PA",Needs better battery technology and had to glue string back to clasp already with a hot glue gun. Paid a lot of money and had to fix it in the first 6 months. Considering looking for a different one in the future. Not sure I would recommend this one to friends or family. Idk!?,"Original review: May 2, 2022"
"Elizabeth of Durham, NC",Contents of purchase arrived intact and on time. However the lock box did not arrive with the correct 4 digit code. Once installed on the door it wouldn't open. The tech support said the company dropped the ball and said we should call a locksmith to remove the box. NO. Very disappointed in their response.,"Original review: March 30, 2022"
"Ricky of Princeton, NC",The first call I made to them was a nightmare. I got a salesman that thought I was too old or too dumb to figure him out. One of the final questions I asked him was if I bought the equipment from Walmart was it going to be the same monitoring. I already knew the answer and could have bought it cheaper at Walmart but he decided it was just easier to end the conversation and say I would have to talk to Walmart about that.... the guy was only looking to out talk me and make a quick sale. My second call was completely different and I managed to get all questions answered and order placed. This time the man on the other end was a true professional. Now just waiting on the equipment and hopefully all things will go well. 3 stars is not very fair but the first call was a 1 star and the second was a 5 so wish I had never called the first time.,"Original review: March 24, 2022"
"Michael of Lakeland, FL","I have not received my product as of yet. Oh, I do so however look forward to using these device for my mother. I will be pleased to do a follow-up as soon as I received my device which I as of yet have not.","Original review: March 22, 2022"
"Sean of Boulder Creek, CA",The issue I’ve had as a caregiver for my mom is the App… It is too hard to access and won’t even open up most of the time. Read the App Store reviews for more details. The unit itself is great and so easy to Use and there was no installation. Just charge it up and go!,"Original review: March 10, 2022"
"Judith of Las Vegas, NV","I was looking for a medical device that I could have with fall alert protection. Medical Guardian is supplying me with this protection. I was not happy with the first equipment I received but when called to set up the system, I was told of optional pieces. I am now thrilled with my small pendant and the system. Hopefully I will only have to press the alarm button once a month for a test.","Original review: Feb. 27, 2022"
"Carol of Brecksville, OH","I spoke to Allison. She was well informed and very polite. She answered all my questions and made me feel comfortable making my decision to go with Guardian.I received my Mini Guardian three days ago. I charged the battery then spoke with a women who went over my instructions. Very easy to set up. Thank you, Carol","Original review: Feb. 21, 2022"
"Thelma of Lancaster, PA",Wish the battery lasted longer than 5 days between charges! Even 2 more days would be nice. That way it's only once a week instead every 5 days which would make it easier to remember to do as you could pick 1 day a week and that would be designated charge your battery day!,"Original review: Feb. 17, 2022"
"Steve of Woodward, OK","It is very easy to set up. We got both the wrist unit and the neck pendant, so if we get tired of one, we can switch. Three dollars more per month to add that option. We are pleased and will recommend it to our friends. I sure hope that Medical Guardian does not sell my phone number or e-mail!!! THAT would piss me off. !!!!","Original review: Feb. 7, 2022"
"Donna of Bridgewater, MA",When they updated from G4 to G5 they changed out the machines and the wrist bands. The new wrist bands have no metal clasp. The have a plastic push nubbins. The don't stay on. My mom hates it. She called and they said they would send old bracelet. She got new ones again. Then I called and ask her to be switched back to 4G with the better bracelet. I was told it would ship next day. She got it and it the SAME one she already has. These are elderly people. Customer service is terrible. We are switching companies. Her neighbor is having the same issue. Shame on Medical Guardian for sending non senior citizen bracelets.,"Original review: Oct. 14, 2021"
"Andrew of Little Rock, AR","I buy few medicine and they give me on-time delivery. This is really good. they also reply me instantly. I think they are very responsive about the time. Overall, the experience is good and I would recommended everyone. Thanks.","Original review: Sept. 9, 2021"
"Stephanie of Saint Paul, MN","I was very excited about the Freedom Guardian Watch because it was everything I needed for my mother. I read the reviews and did my research then placed my order. This arrived in about 5 days and I was quick to charge it for the night so I could set it up in the morning. I woke up, made my coffee and called the company to activate it. Now, I live in the suburb of a large city and getting a phone signal is not a problem. This was a problem for the watch so the Tech asked if I could try standing outside to see if this would help. It seems that a metal roof or siding will block the signal (I have neither). Well, there is freezing rain and sub zero but I took one for the team and went outside (really the doorway and held the watch out further) this changed nothing. The watch would not connect to the signal of AT&T. ","Original review: Feb. 5, 2021"
"Paul of Long Beach, NY","My mother has the MiniGuardian, and recently fell (first incident with the unit). The system did in fact summon an ambulance crew (my mother pressed the button). But the crew could not get into the house for 15 minutes -- until I noticed flashing red lights from the window and opened the front door (I was actually home, but was pre-occupied in a different part of the house). What about the lockbox code? The crew was told by the dispatcher there was no such code. But after the incident, I called customer service and inquired about the lockbox code and the rep immediately told it to me! But the dispatcher (called the next day by pressing the button on the device) stated there was no lockbox code.","Original review: Dec. 3, 2020"
"Shannon of Wichita, KS","The Medical Guardian equipment was bulky and heavy, and my mom didn't like it; we tried two different products, so we gave it all a shot. I received confirmation that the returned equipment was received on 8/6/2020 and was told to allow a ridiculous 30 days for a refund. I went along, but when I hadn't received a refund my next credit card bill, I called on 9/21/20. Still no refund on 9/24, so I submitted a dispute via my credit card company. On 10/11/2020 the credit card company reversed its refund and told me the dispute was still in play. ","Original review: Oct. 21, 2020"
"Sarah of Manchester, ME","I order the home medical alert system for my mother end of 2019. I was told when I purchased the system and paid for a year of services that I had 30 days to try the product, and would receive a full refund if I was not satisfied. I made sure the warranty was for 30 days because this was a Christmas gift, and I knew my mother would be leaving for 2 weeks the day after Christmas, so it would be at least 2 weeks before she could try it out. I asked extensive questions about the warranty and return policy, and because of the answers I received I was comfortable paying for a year of services. That was a mistake.","Original review: Oct. 18, 2020"
"Elizabeth of Richmond, VA","I can't get up when I fall. I now have Medical Guardian's device that goes around my neck. It goes when I go. I haven't had to use it, but so far it's easy to handle. The Medical Guardian team has been very cooperative and very easy to deal with.","Original review: Sept. 3, 2020"
"Joseph of Wellington, FL","I'm 82 years old, living alone and I have issues as well as a pacemaker. I wanted to make sure I was covered and so I got a medical alert. I got a Medical Guardian and put a lockbox outside my house in case the fire department has to come in. Medical Guardian would notify them so at nights, I have their device around my neck and by the bed. During the day, I have my Medical Guardian watch on. Having it makes me feel secure and safe.","Original review: Sept. 2, 2020"
"Robert of Marion, AR","I had a ministroke and I would pass out and lose my balance. I live out in the country in Marion, Arkansas where phone service is not doing well. I got myself a cell phone that has a button that I push when I have an emergency. When I had a ministroke, I used the dial and somebody came by and helped me out. The ambulance came and took me to the hospital. When I got out, one of my children said something about getting me a push button. Now I have a device on my neck from Medical Guardian. The button is there for me when I need it. I also have a button in each room.","Original review: Sept. 2, 2020"
"Barbara of Oklahoma City, OK",I had several falls a few months ago and then I had to have a leg amputated ‘cause of an infection. I needed a medical alert device in case I fall some more. My experience with Medical Guardian has been really good. I have no problems at all. I’m glad I have it.,"Original review: Sept. 2, 2020"
"Rita of Temple, TX","My husband is on rehab and I live by myself at the present time, and my son felt that I would be safer having this device. He got it from Medical Guardian early part of July. I have not had to use it but when I first got it, I unconsciously activated it. The answering machine answered right away. I felt so embarrassed that I had to tell them that but I like that they responded readily. I wish though that the device could be in every room. The main machine is in the living room but in the bedroom, I would have to rely on just punching the button. Then, they would call the contact number but I would not be able to chat with them. I wear the button around my neck and I had to pull it up a little bit because it rested in my stomach. Every time I leaned against something, it got activated. I had to raise it up, so it would be closer to my breastbone.","Original review: Sept. 1, 2020"
"Virginia of Harrison, OH","My daughter bought me a Medical Guardian after I fell one night. Though I'm not too enthused about wearing the device, I wear it every day.","Original review: Sept. 1, 2020"
"Bob of Croton-On-Hudson, NY","I'm alone in my big house. If anything happens to me, I wanted a way of contacting someone other than by using a telephone. My neighbor checked with several companies and found Medical Guardian to be most successful. She came to my place with all the information and we established the account. So far, I don't like my Medical Guardian much. It keeps opening and the long thing that goes around my wrist keeps flapping around and getting into everything. I have to stop everything I'm doing and put it back with things that hold it down. Still, it's alright and I'm very satisfied with it.","Original review: Sept. 1, 2020"
"Sue of Anderson, IN","My father-in-law is elderly, lives alone and has been falling some. My brother-in-law looked online and Medical Guardian seemed to have the best rating and so, we went with it. My father-in-law and brother-in-law tested the button and everything is positive. We don't have any problems with it. Somebody came up and asked us about it and we've already given one referral.","Original review: Aug. 31, 2020"
"Jill of Groton, CT","On my 87th birthday, my two daughters got together and looked into getting me a medical alert device. They went with Medical Guardian but so far I've found their device very heavy. I need a bell around my neck and it's been very hot and humid. I don't like that the string around my neck is going to get covered with sweat and will get dirty. If Medical Guardian could make the cord around my neck or the device detachable such that it could be clipped to a belt, it would be an improvement. It would also help if I get someone with me who understands it. The device came through the mail and my daughters weren't around.","Original review: Aug. 31, 2020"
"Donna of Richmond, IN","I've had several falls so my son got me a medical alert device. He looked through several medical alert device companies and device on Medical Guardian. I used their necklace unit for a while and then I shifted to their bracelet. The bracelet started to bother me so I went back to the necklace. The necklace is so long though that I cut it a little bit to make it fit. This way, I wouldn't have all that cord hanging down. The unit I have functions in my home until 1,300 feet away. While I would like for it to help me outside of home too, I'm satisfied so far.","Original review: Aug. 31, 2020"
"David of Forked River, NJ","My father lives by himself and getting up in age, which was why I got him a medical alert device. I liked Medical Guardian’s rating and signing up with them was simple. My father told me he has tried the button, and his only complaint is that it is large and there's a red flashing light on it.","Original review: Aug. 30, 2020"
"Margaret of Franklin Township, NJ","I have fear of falling. I’ve fallen three times in a row, and each time I had to have a hip replaced. It's been tough times. It was time for me to do something about it. So, we got Medical Guardian. Everything's been good. I haven't fallen, so I haven't had to use it but it's with me all the time. I have it around my neck. I like the feeling of reassurance that I have in case something happens. I feel there's somebody there in case I need them.","Original review: Aug. 30, 2020"
"Leslie of Naples, FL","My mother is under hospice care and she is getting weaker every week. We got her a Medical Guardian and security-wise, she has been fine. We programed the device such that if she falls, the call goes directly to the hospice and they come out to my mother's location. Medical Guardian has been great so far from my experiences with customer service to putting in the alert device.","Original review: Aug. 30, 2020"
"James of Pontiac, IL","I wear my Medical Guardian around my neck and it's been fine so far. I haven't had a need to use it, but it doesn't bother me to wear it. One time, I pushed my button, and then they answered it. It was just a short period of time. They called back and asked if I was all right. I said, ""Yeah. I'm all right. It was just a first time test.”","Original review: Aug. 29, 2020"
"Jeff of Bradenton, FL","My mom's Medical Guardian device has been so far, so good. Everything was good when I set it up. She had some therapist that were coming out. She's had strokes and she's unsteady on her feet. She stays by herself. She's got to stay here once she let the dog out in the pen. She could go outside with her device cause it's like a cellular device. I’m about 10 minutes away from her, but still, if something happens, she can press that button. Even if somebody's breaking in or something, she can press it.","Original review: Aug. 29, 2020"
"Judith of Turnersville, DE",I've fallen down many times. My son purchased a Medical Guardian for me and now I feel safer.,"Original review: Aug. 29, 2020"
"Shirley of Westminster, MD","I decided to get a Medical Guardian because I was by myself for a long while, but my sister's with me now. I wanted to make sure that if I would fall or something would happen, I would have somebody to help me. I feel much safer being here, ‘cause I know if something happens, all I have to do is push my little button and somebody will come. I have it around my neck and I wear it all the time.","Original review: Aug. 28, 2020"
"Betty of East Pittsburgh, PA","My daughter decided to get me a medical alert because I'm 95 years old. She wanted it for emergencies. I can't talk too right and I can't do things. I can't walk a lot. When I need to call her, I have my Medical Guardian device on my arm. I have like a watch on my hand. I haven't used it yet for anything but it's a very good thing. I feel safe. Now that I have it, I can get help if it is needed.","Original review: Aug. 28, 2020"
"P. of Ny, NY","The customer service of Medical Guardian has been very good. The sales representatives were easy to deal with. Thankfully, we haven't had to use it yet ‘cause my mother hasn’t fallen yet. But from speaking to a sales representative to installing it, it's been great.","Original review: Aug. 28, 2020"
"J. of Va, VA","My son got me to purchase a Medical Guardian, so I have it in case of an emergency. I keep it beside my bed. I don't wear it because it's a little heavy. My experience with it has been fine. I have not had to use it though.","Original review: Aug. 27, 2020"
"Jean of Naperville, IL","I researched online and liked what they had to say about Medical Guardian. The information on their website stood out. I also liked that their call centers are all in the US, so I knew I would be speaking to somebody who could speak English. Everybody at Medical Guardian was very good at what they did. They spoke clearly, explained things adequately, and they were polite. I did use my device once. I have Parkinson's and I froze. I just needed them to call anybody. I had them call my sister to wake her up so she could come and assist me. It was a positive experience.","Original review: Aug. 27, 2020"
"Nancy of Sylvania, OH","I live alone and I've fallen. My kids thought it would be good if I got the Medical Guardian device. They're happy that I have it and that I use it. Right now, I'm sitting in a metro park and I have the bracelet on, and I have the other part in my purse. They feel that it's money well-spent. However, it's not really comfortable. Especially when it's hot and sticky, it's hard to wear it. It sticks to my arm. It's not like I'm thinking, I don’t like it. I'm just not a jewelry person. But I'm used to it. It's okay. It's made well. I'm glad that I have it and I use it. I'm gonna be 85 this month, so it's a good thing to have.","Original review: Aug. 27, 2020"
"Ronald of Sarasota, FL","I did some research online and Medical Guardian seemed like the best deal. We liked that you're not in a contract and the price. We had it before for temporary and so far, it's great. We needed it at one time and it worked out well. Bob had fallen and I wasn't around. So, he called 911 and they came and helped him up.","Original review: Aug. 26, 2020"
"Merle of Highland Park, IL","I was falling a lot. My children decided for me to have Medical Guardian. They feel very good about it. I don't wear my device but I keep it on my night table. I tried to use it once, but the battery was out. I hadn’t charged the battery.","Original review: Aug. 26, 2020"
"Janis of Citrus Springs, FL","My insurance company sent me a medical alert. They sent one of those things that they got to set up a thing in your house and you can only go 500 feet. My mailbox is over 500 feet from my door. My backyard, I have to only go halfway through it. I've never opened it. That was when I went online and got Medical Guardian. I'd rather pay for something that I know is gonna be there when I need it.","Original review: Aug. 26, 2020"
"R. of Mo, MO","The kids said I should get the device from Medical Guardian. Roxanne, my daughter, looked at them and she said that was the one I needed. When my daughter and my daughter-in-law agree on something, it's a whole lot easier to go along with them than it is to argue with them. It’s got to be safer having the device. I've got my cell phone and it works most of the places I am but with that tied around the neck, might not be quite as to drop it. But it’s because of the injury that I got it. ","Original review: Aug. 25, 2020"
"Tabitha of Waynesville, NC","When my grandmother received her Medical Guardian device, I was the one that was supposed to set it up. But she threw away the box that it came in with the instructions, so we weren't for sure how to set it up. I did save the email, so my husband was kinda sorta messing around with it because we didn't know if the green light was supposed to stay on if it was charged or what was going on. He messed around with it for a few minutes and it ended up calling the help people. When it did, my husband said, “We were just trying to figure it out. We didn't know how to work it, what's going on.” The rep talked him through it and told him that everything was set up and it was ready to go.","Original review: Aug. 25, 2020"
"Gwen of Pigeon, MI","Medical Guardian is working out really well for my mother. She's 89, and I live on the other side of town here, but still, if she would fall in the house, I would want to know about it. She goes outside and tries to pull weeds and all those wonderful little things. She won't listen to us, so we figured this was the next best thing. My older sister picked Medical Guardian out, and we just agreed on it. She went on and evaluated or looked up their ratings on her phone, so she thought this one was the best for what we needed. Mom doesn't really travel anywhere, and she doesn't go anywhere but the house, so we thought this would be perfect for her. She wears her device. She either has the necklace on or she wears the watch. We've been really happy with Medical Guardian.","Original review: Aug. 25, 2020"
"Lisa of Pegram, TN","My mother's 80 years old and still lives alone. She’s had bad vertigo and had a lot of dizzy spells with that. We decided it would be better off to get that where she would have something. In case she fell and nobody was there, she could get help. I looked at the alerts up online and Medical Guardian came up as the number one company. I called to inquire about it. They gave me all that information over the phone right down to the price. So, we decided and went with them. So far, the Medical Guardian has been great. We've had no issues. We've been very satisfied. They were helpful and friendly over the phone. When we did the test, they were right on it.","Original review: Aug. 25, 2020"
"Janice of Indianapolis, IN","My mother is 91 so the possibility of falling is increasing. With Medical Guardian, we feel more secure. The device is fine and I can understand and hear the station out of which the person talks but the voice cuts in and out. So, it's hard for my mother to understand. I had to tell her that when she hears them answering, she should tell them, “Ambulance or call my daughter."" We've worked around it but it would be nice if the acoustics were a little easier for older people to understand. It's not coming across clearly and it's not the fault of the person talking to us. It's the equipment.","Original review: Aug. 24, 2020"
"Doris of Rockaway Township, NJ","I got the virus and my friend called Medical Guardian and ordered a device for me, and she had it sent to my house. I live alone and my kids are in California. They were worried about me being alone with the virus. I fell down the front steps with it on. I hurt my shoulder. I couldn't get off the step. People weren't stopping because everybody's afraid of the virus. They knew I had the virus. They're afraid they're gonna get it. So, all the neighbors that were on the beach walking by does not stop to help me up. I was able to call the ambulance and made a lot of trouble getting me up because of the shoulder and my weight. I'm going to the doctor tomorrow because my shoulder is still in bad shape. I can't use the right arm much at all.","Original review: Aug. 24, 2020"
"Becky of Osseo, MN","I have RA, so my joints hurts and sometimes, I fall. I've had other health issues that come along with that. I got Medical Guardian, and my husband really appreciates it especially, when he's not home, he knows that there's at least some contact. We did go for the necklace because I thought that would be the one I'd be most likely to remember to have on and take with me. It's just a little heavy to wear, but it's comfortable.","Original review: Aug. 24, 2020"
"Lonnie of Grafton, OH","My daughter got me a Medical Guardian in case something happens to me. I wear it around my neck and keep it on all the time. So far, I've had no problems with the device at all.","Original review: Aug. 24, 2020"
"L. of Fl, FL","My mother has Medical Guardian and it helped her. At times, she had to go to the hospital and she used it to alert the people and they called me too. So, it worked out well.","Original review: Aug. 23, 2020"
"C. of Ca, CA","I had a fall and I’m unsteady on my feet. I got Medical Guardian, and I now have greater sense of safety and security if something should happen. My device is around my neck. I like the fact that it is water-resistant, so I can keep it on in the shower which is important. When I purchased it, they said that the charge would last up to a week. I have found that that doesn't last. It needs to be charged about every four days. And on the neck one, it connects with a magnet. It's not a solid band around your neck. So, I noticed the magnet has pulled apart a couple times when I'm getting dressed. It might be better if they just had it as a solid necklace instead of one that pulled apart with a magnet. While I have not used it yet, I have tested it. The customer service was very good.","Original review: Aug. 23, 2020"
"E. of Ny, NY","I had a stroke and my friend had suggested that I get something. The two of us started to sort of search around what might be best. As far as the cost, Medical Guardian was much more cost effective. Also, we like that it was lighter weight. The Medical Guardian team was great, especially the original person I spoke to. Everybody was so informative in letting us know what was the best thing and what was my best options. I'm very satisfied with my experience.","Original review: Aug. 23, 2020"
"G. of Me, ME","I live alone and I'm old. I got a Medical Guard system and the one I have has a machine on my bedside table. I also wear a push-button around my neck. My wife is in a home because she fell down the stairs and broke her neck. If the same thing happens to me, I just push a button and somebody comes and carries me away. So far, the device has been fine and it solves my problem.","Original review: Aug. 23, 2020"
"Gisele of Leominster, MA","I like my Medical Guardian a lot. One time, I decided to clean my clothes. So I took all my clothes to bring in my kitchen, so I could wash it. All of a sudden I heard my name. I thought somebody was in the house. It was the alert, the chain I have in my neck. There's a button there. 'Cause I pressed it. It called the alarm system. I heard the alarm system, ""Are you okay?"" I said, ""Okay. I'm fine. I was supposed to bring my clothes and I was pressing it in my arm, to the kitchen."" So that was working very good. I wear it very well, all the time. I slept with it. I kept it. I took it off when I'm in the shower. But I can keep it in the shower too if I need it. I'm enjoying it. I'm very satisfied with it and I'm very happy. I have the watch too. I can wear it or the necklace.","Original review: Aug. 22, 2020"
"A. of Fl, FL","I'll be living alone when my daughter goes back to her home. She decided that I should have a Medical Guardian because I had a fall about three months ago. She arranged to get it, and I have it around my neck now. I set it off by mistake one time. But they’ve received it and they came on, and I told them it was ‘cause I laid on it and pushed the button.","Original review: Aug. 22, 2020"
"Louise of Lawrence, KS","Back in February, I fell backwards in my bathtub at 12:30 at night and didn't get any help until 330 that afternoon. I decided I needed something and my daughter did all the checking in with Medical Guardian. I got their device and so far, I put the bracelet unit on at night and put on the necklace one during the daytime. I've been happy with my Medical Guardian. There was a time when I laid it down a little too hard. That set the device off and a little later, my daughter and I heard banging on our door. I had to tell the medics that I accidentally bumped it. Overall, I'm satisfied with the product.","Original review: Aug. 22, 2020"
"Patricia of Bryant, IN","I had severe vertigo that put me in the hospital. My two sons set me up with Medical Guardian. When they were first setting me up, Medical Guardian had to call at a certain time but they didn't get that done. Still, when the call came in my sons understood the rep whom they worked with. Now, I have the key to my house in my lockbox and I carry their device with me all the time in my purse. I keep their other device in my bed and made my husband aware of it. I have improved so much since having vertigo that we considered eliminating Medical Guardian's service. My sons decided to continue it though and we're gonna keep it for a year just in case.","Original review: Aug. 22, 2020"
"Justin of Tarpon Springs, FL","Medical Guardian sold my elderly and infirm mother (81) a device that she did not need, could not afford, and would not have worked for her situation. Then after I - her son and caretaker- promptly returned the device (at our expense) they have to date refused to return the $470 they took from her. She needs this money to pay rent and buy groceries. I feel Medical Guardian is really a wolf in sheep's clothing, preying on elderly fears. Buyer beware!","Original review: Aug. 21, 2020"
"Marie of Brooklyn, NY","I fell last August and I also fell in June. I had always planned to get a medical device, so it motivated me to get it before. My family's happier now that I have one. My son knew someone that had a Medical Guardian. He checked what was the best one and he felt Medical Guardian was. Their reps were very nice. Getting everything set up didn't take long at all. My son set it in motion. I'm pleased with it and I feel reassured that I have it. I haven't had to use it. But I almost was thinking of checking it.","Original review: Aug. 21, 2020"
"Judy of Lapel, IN","I feel one time and my daughter was concerned as I live by myself with her being half an hour away. We got Medical Guardian's service. Currently, I have one device around my neck and the other is on my wrist. In general, I would recommend this device but not to one who isn't just at home.","Original review: Aug. 21, 2020"
"Marilyn of Randall, MN","I was not satisfied with my previous medical alert device provider as they did not call the people that were on my list when they needed to. My brother who has Medical Guardian told me all the advantages of having their service. My son took care of signing me up with them and so far I love Medical Guardian. I charge their device every four days when the battery runs out. I thought it would last a week but still it's not hard to charge it. There was a time when I had intestinal bleeding and as soon as I pressed my button, their team answered right away. The fire department got to my location right away. The ambulance didn't take long either and they came from 10 miles away. I'm totally satisfied with the service and I feel really secure with it. The reps are so polite and caring when they answer the phone.","Original review: Aug. 21, 2020"
"Latrina of Memphis, TN",I compared Medical Guardian with a competitor and Guardian fit more both the old and young while the other one was always advertised to old people. Guardian was the one I wanted and I got that. I do the watch and it's fine. I tested it when I first got it and it worked. But I'm pressing it and no one's coming out so maybe something needs to be charged on the watch.,"Original review: Aug. 21, 2020"
"K. of Az, AZ","I've had a problem with my blood pressure and I've had a couple of falls. My children and grandchildren decided that I should have this Medical Guardian around my neck all the time. So if I fall and my husband isn't here at the time, somebody will know. It’s a more secure feeling having it. If anyone's going to be alone or do not have someone around them all the time, it's a very good idea. I've had to learn as far as putting things in the upper shelf, like lemons or something up high that when I lean in, I can set it off. I've done that a couple of times and they’ve been very nice about the false alarms.","Original review: Aug. 20, 2020"
