review,sentiment,annotator1,annotator2,label
"my friend has medical guardian and she recommended it. setting it up was very easy, and it's not difficult to use at all. it's working really good. it's just the necklace part that came with it came apart. it's magnetic and it won't stay together. so, i have to get a new holder to put on it.",POS,1,1,1
"my mother is a fall risk so i decided to get her a medical guardian device. everything's fine since she got it. she's got the necklace and the watch, and i'm satisfied.",POS,1,1,1
"i have the device in case of emergency. guardian is the best and it is working. it's very comfortable to wear it, and the reps have been very good too. overall, i'm very satisfied.",POS,1,1,1
"i have been trying to cancel my membership for over 6 weeks apparently no one cares once they got my money. now, i'm fighting for a complete reimbursement of my money!! i want my money back!! i want my money back!! i want my money back!! asap.",NEG,-1,-1,-1
when my dad died i notified them and was given a rma to return the equipment. they received it 5 days later. i have provided the tracking number multiple times and they still have not processed my return almost 2 months after getting the equipment back. they are still billing me. i have contacted th,NEG,-1,-1,-1
fall detection is a main part of this device in case of the stroke. i use this device for some time until noticed that fall detection doesn't work. it doesn't work even after upgrading to a new device. customer representatives rare pick up the phone on saturdays.,NEG,-1,-1,-1
i advised the initial person i spoke to i had a metal roof..the device they sent (that i purchased) does not work with the metal roof situation -new device was to come friday (2 days ago). has not ... have no idea what the device they are sending is-but feel the salesperson should have advised what ,NEG,-1,-1,-1
"i received my new medical watch a week ago and when i was setting it up i could not get the steps to work. then called the rep that sold me the watch and he did not know how to setup the steps and he put me through to customer care, a lady got on the phone and she was unsure how to set it up ",NEG,-1,-1,-1
needs better battery technology and had to glue string back to clasp already with a hot glue gun. paid a lot of money and had to fix it in the first 6 months. considering looking for a different one in the future. not sure i would recommend this one to friends or family. idk!?,NEG,-1,-1,-1
contents of purchase arrived intact and on time. however the lock box did not arrive with the correct 4 digit code. once installed on the door it wouldn't open. the tech support said the company dropped the ball and said we should call a locksmith to remove the box. no. very disappointed ,NEG,-1,-1,-1
when they updated from g4 to g5 they changed out the machines and the wrist bands. the new wrist bands have no metal clasp. they have a plastic push nubbins. they don't stay on. my mom hates it. she called and they said they would send old bracelet. she got new ones again.,NEG,-1,-1,-1
"my mother has the miniguardian, and recently fell (first incident with the unit). the system did in fact summon an ambulance crew (my mother pressed the button). but the crew could not get into the house for 15 minutes -- until i noticed flashing red lights from the window and opened the front door ",NEG,-1,-1,-1
"the medical guardian equipment was bulky and heavy, and my mom didn't like it; we tried two different products, so we gave it all a shot. i received confirmation that the returned equipment was received on 8/6/2020 and was told to allow a ridiculous 30 days for a refund. i went along.",NEG,-1,-1,-1
"on my 87th birthday, my two daughters got together and looked into getting me a medical alert device. they went with medical guardian but so far i've found their device very heavy. i need a bell around my neck and it's been very hot and humid. i don't like that the string around my neck",NEG,-1,-1,-1
"i thought the medical guardian would be a good solution. but i don't like the quality of it. the bracelet keeps coming off and it keeps falling and keeps getting tangled, so it's not really good. i also don't like the light. it's way too bright. i used the device once. ",NEG,-1,-1,-1
"i won't recommend medical guardian. i dont know if its gonna work when i need it to work and it makes me nervous. the one time i'm gonna use it will probably be the last time and i need it to work 100% of the time, one time. i've been afraid to press the button",NEG,-1,0,-1
"i have had medical guardian a couple of weeks and i'm not too impressed with it at all. i can't see where it's adding anything to my day. it's embarrassing to wear it in public. it flashes that light around the room at night. i may, in time, get used to it but i regret buying it. ",NEG,-1,-1,-1
"the kids wanted to get medical guardian for us because the wife kept falling down but we tried it out last night and it does not work. the light in the middle keeps blinking red all the way through. we had four phone calls and then finally, they gave it to the tech center. they said it is not compatible",NEG,-1,-1,-1
"we've seen others with more convenience and a wearable neck unit. i paid for medical guardian with three months of service and we want to terminate our contract with them. it's unusable in its present configuration. there's no wearable device and therefore, it's unreachable. ",NEG,-1,-1,-1
"my son bought the medical guardian device for me and i am not happy with it because it is on a rope-thing. it is always dangling down in front of me. i cannot bend my knees when i'm doing yard work and i am leaning over, and this thing gets in my way all the time. but the device gives me assurance.",NEG,-1,-1,-1
"please do not use this company!! my family ordered my 90 year old mother this alert. she passed - we never used the product, was never activated. i called the company to explain the situation, i was told to return the equipment (i was not sent a box or a prepaid label - we paid for the return) ",NEG,-1,-1,-1
company is disreputable. do not do business with them. after my sister died i returned the equipment for a refund. after deducting a ridiculous amount for restocking and other charges they credited a big $70. i instructed the company to mail me a check as the executor of my sister's estate.  ,NEG,-1,-1,-1
"medical guardian sales is very pushy. do not give them your phone number! once they have your number they constantly call, even months after your original contact. they use a local prefix to trick you into answering, by trying make you think that it is a local number. they do not identify themselves",NEG,-1,-1,-1
medical guardian recent had a firmware failure which has left my mother without service for 4 days and counting. they provide no technical support on weekends or evenings for their devices so it is misleading for them to tout a 24/7 emergency service when they have a system failure ,NEG,-1,-1,-1
"when trying to cancel my service, i have continued to be charged for 2 months. i have received cs agents who have been rude, talked over me, and made empty promises. as of today, i still haven't received cancellation paperwork necessary to cancel services and am still being met with rude people.",NEG,-1,-1,-1
"they start charging you as soon as the unit has arrived. this was a gift i ordered in advance. they told me it will not be charged till activation - as the other good companies operate their business. no, i was automatically billed the $30 monthly fee. when i called to cancel, i was told i could not",NEG,-1,-1,-1
"i ordered the medical guardian system and received it yesterday, 22 august. i did not get the service agreement i am supposed to sign and return. plus, the lock box with the 4-digit code will not open. i will be returning the unit today. i am totally disgusted with medical guardian",NEG,-1,-1,-1
"my husband was ill from 2010 to 2011 and i stayed in the hospital with him 24/7. by the time i lost him, my legs had atrophied, so, i'm walking with a walker. i had life alert but they let me walk around in this house for six months with no service. they knew it and they didn't bother to call me. ",NEG,-1,-1,-1
"i do not like my medical guardian. you have to wear that thing around your neck or on your wrist, which is fine. but if something happens and you cannot get close to your monitor, then you could have 10 policemen outside your door or whatever else they decide to send",NEG,-1,-1,-1
"my father-in-law fell during a time when my husband and i were working long hours. we wanted to get a medical alert device for him for our peace of mind. medical guardian was recommended to us so we went with them. initially, my experience with them was terrible. i had to call them several times.",NEG,-1,-1,-1
i signed up for medical guardian to protect my mom in case she fell at home. on dec 21 2018 my mother passed away. i called to cancel the service about a week later and they informed me they could not cancel the service until they received their equipment. i was unhappy with that ,NEG,-1,-1,-1
i ordered a monitoring service from medical guardian and received a confirmation which had my address wrong so i e-mailed the salesman right back with the right address and he e-mailed me back that he had corrected it. he did not. i called customer service and was told that i had to pay $350 ,NEG,-1,-1,-1
"my kids are afraid to leave me alone, so i tried medical guardian. i wear it all the time, on my neck or on my wrist, but i do not like either of them. the necklace is too long, and if you move it a little fast, it gets out of place. also, my hands are bad and i can't push the button that well.",NEG,-1,-1,-1
received a freedom guardian watch for my mother. it had many issues and finally set off the alarm 12 times in one hour and couldn't be reset. she was instructed to call and have a new one sent out. they recorded her saying yes to send a new mobile guardian out which was not the same device. when we ,NEG,-1,-1,-1
"this company repeatedly defrauded my handicapped elderly mother out of thousands of dollars. it took investigations from bank of america, and months later this sham of a company who never once delivered a product to my mother insisted on defrauding her out of her social security check. ",NEG,-1,-1,-1
"i wanted the device that you can put on the wrist, but the top of it fell off of it right off the bat, so i don't use it. medical guardian is all right, but it's pretty expensive if you're not gonna use it. i'm not gonna renew it again.",NEG,-1,-1,-1
"i've had this for two months. in trying to test it, i get nothing. i got a call from customer service after i finally got through and explained the problems. she gave me a number to call with three choices of numbers - customer service, etc. i called e times and all they said was ""can't hear you"" ",NEG,-1,-1,-1
"i got a medical guardian device after i had a stroke in may. i test the device regularly to make sure it's working. in fact, i just tested it a couple of days ago. medical guardian said they were gonna connect me with an operator, but it took seven times before i got an operator. i'm not really happy",NEG,-1,-1,-1
"my client ordered a medical guardian device. it never arrived. eventually, she forgot about it. today, in the mail, she received a final attempt letter demanding $1,078.65 for the device and an additional $350.00 for the missing device that she never received. what a scam. ",NEG,-1,-1,-1
"we have had trouble with keeping our device charged. when we get it charged and push the button to test it, it takes an extraordinary amount of time for an operator to answer the call. if my husband is having trouble breathing, he would have passed out by the time the call is answered.",NEG,-1,-1,-1
"they took my money before i was even off the phone. they could not get the watch to work correctly, after 2 weeks i gave up and can't seem to get my money back. they keep saying up to 30 days to get the refund. please how old is their system? do not buy from this company. ",NEG,-1,-1,-1
"our family does not recommend doing business with medical guardian. in july 2018, we heard about a promotion of 2 free months and a $30 month cost after that. within 1 1/2 months, our credit card on file was charged $550! ",NEG,-1,-1,-1
"i purchased the classic (for use with landline) in 2015 for my mom who lives with us. when testing, the response time was good and we fortunately did not need it for an emergency. however, this summer (2018), the power went out and the unit did not work. the battery backup did not come on either. i ",NEG,-1,-1,-1
"the individuals i dealt with were very kind and answered questions so that i understood. i received the medical guardian equipment in a short period of time. i dropped it (in indiana). one always wonders if there will be an immediate response if needed. i had one. while in florida, i dropped it (art",NEU,0,0,0
"i was looking for a medical device that i could have with fall alert protection. medical guardian is supplying me with this protection. i was not happy with the first equipment i received but when called to set up the system, i was told of optional pieces. i am now thrilled with my small pendant and",NEU,0,0,0
"i have not received my product as of yet. oh, i do so however look forward to using these device for my mother. i will be pleased to do a follow-up as soon as i received my device which i as of yet have not.",NEU,0,0,0
"i order the home medical alert system for my mother end of 2019. i was told when i purchased the system and paid for a year of services that i had 30 days to try the product, and would receive a full refund if i was not satisfied. i made sure the warranty was for 30 days because this was a christmas",NEU,0,0,0
"i'm 82 years old, living alone and i have issues as well as a pacemaker. i wanted to make sure i was covered and so i got a medical alert. i got a medical guardian and put a lockbox outside my house in case the fire department has to come in. medical guardian would notify them so at nights, i have t",NEU,0,0,0
"my daughter bought me a medical guardian after i fell one night. though i'm not too enthused about wearing the device, i wear it every day.",NEU,0,1,0
"i'm alone in my big house. if anything happens to me, i wanted a way of contacting someone other than by using a telephone. my neighbor checked with several companies and found medical guardian to be most successful. she came to my place with all the information and we established the account. so fa",NEU,0,0,0
"my father-in-law is elderly, lives alone and has been falling some. my brother-in-law looked online and medical guardian seemed to have the best rating and so, we went with it. my father-in-law and brother-in-law tested the button and everything is positive. we don't have any problems with it. someb",NEU,0,0,0
"my mother is under hospice care and she is getting weaker every week. we got her a medical guardian and security-wise, she has been fine. we programed the device such that if she falls, the call goes directly to the hospice and they come out to my mother's location. medical guardian has been great s",NEU,0,0,0
"my mom's medical guardian device has been so far, so good. everything was good when i set it up. she had some therapist that were coming out. she's had strokes and she's unsteady on her feet. she stays by herself. she's got to stay here once she let the dog out in the pen. she could go outside with ",NEU,0,0,0
"my daughter decided to get me a medical alert because i'm 95 years old. she wanted it for emergencies. i can't talk too right and i can't do things. i can't walk a lot. when i need to call her, i have my medical guardian device on my arm. i have like a watch on my hand. i haven't used it yet for any",NEU,0,0,0
"my son got me to purchase a medical guardian, so i have it in case of an emergency. i keep it beside my bed. i don't wear it because it's a little heavy. my experience with it has been fine. i have not had to use it though.",NEU,0,0,0
"i live alone and i've fallen. my kids thought it would be good if i got the medical guardian device. they're happy that i have it and that i use it. right now, i'm sitting in a metro park and i have the bracelet on, and i have the other part in my purse. they feel that it's money well-spent. however",NEU,0,0,0
"i feel one time and my daughter was concerned as i live by myself with her being half an hour away. we got medical guardian's service. currently, i have one device around my neck and the other is on my wrist. in general, i would recommend this device but not to one who isn't just at home.",NEU,0,0,0
i compared medical guardian with a competitor and guardian fit more both the old and young while the other one was always advertised to old people. guardian was the one i wanted and i got that. i do the watch and it's fine. i tested it when i first got it and it worked. but i'm pressing it and no on,NEU,0,0,0
"my father was diagnosed with interstitial lung disease and he is on oxygen 24/7. occasionally, his oxygen gets very low so we needed some kind of medical alert system to get help if needed. two of our neighbors had such devices. one had medical guardian and the other had life alert. i researched the",NEU,0,0,0
my husband and i are 83 years old and we live alone. our kids were worried about falling and they thought that getting a medical alert device was an important thing for us to do so we followed their advice. our daughter-in-law took care of getting medical guardian so we didn't have any choice. she m,NEU,0,0,0
my husband passed away and my kids decided that i needed something because i was gonna be alone. medical guardian works fine as far as i'm concerned. i don't like to wear the thing around my neck and i really don't like the size of the thing on my wrist but i'm wearing it. i feel secure with it. i a,NEU,0,0,0
my daughter was worried about me. she thought i needed a medical guardian device. she got it for me. i have one for my neck and one for my wrist. they're all right.,NEU,0,0,0
"i've had five falls wherein three have resulted in injury. my husband found medical guardian, and he liked the way it looks. however, the device is not that comfortable. it is a bit big and heavy. other than that, it's fine. i tested the device and the response was very fast.",NEU,0,0,0
"i went online and looked medical guardian up, and i saw good reviews on it. i have it on just for fun. but you never know. i thought i was high risk for stroke or anything, but the cardiologist said no. he said i don't need the device, but i already paid for three months. i'll just keep it and then ",NEU,0,0,0
"medical guardian makes me feel more secure if anything does happen, because i'm almost 80 and i live alone. i had a question once. i called and the reps took care of it. the device is pretty simple. the only thing is, i didn't like their chain so i put a sterling silver on it. but it isn't working o",NEU,0,0,0
"i wanted some kind of a device and medical guardian was recommended to me. i wear the button on my neck but i'd rather not have it. i also hope that i don't accidentally hit it and it goes off sometimes. but if i ever need it, i'll be glad to have it.",NEU,0,0,0
we were looking for a device for my mother to wear. my dad had passed away in june and she is firmly by herself during the day. we're working on changing that but we wanted her to have something. we tried another service and it wouldn't work in her home. they live in a manufactured home. so we went ,NEU,0,0,0
"previously, judith who is in my care had a different medical alert device. she thought she wasn't gonna use it and so she turned it in. after she did that, she decided she would use one so we tried another company. we went with medical guardian and so far she has been wearing the device around her n",NEU,0,0,0
"i fell on april 18th in the garage and i stayed on the floor for over 24 hours. i am 73 years old. if you live alone and you are a fall risk, get a medical alert device. i got my medical guardian for the house or when i'm in new york and it has worked out fine. thank god i haven't used it.",NEU,0,0,0
"i wear my medical guardian device around my neck and i feel safer with it. however, it is not very comfortable. it should be lighter.",NEU,0,0,0
