NAMES OF REVIEWERS,REVIEWS,DATE OF REVIEWS
"Robert of Fort Lauderdale, FL","I received my new medical watch a week ago and when I was setting it up I could not get the steps to work. Then called the rep that sold me the watch and he did not know how to setup the steps and he put me through to customer care, a lady got on the phone and she was unsure how to set it up so she put me on hold for 12 minutes then came back and tried a few things with me, still did not work, put me on hold again for another 11 minutes then came back and said someone would call me before 5pm today. Received a call a 4pm and was told they would be sending me a new watch and I would have to return the one I have to them. Overall I have wasted 2 hours of my day with the customer care and salesman","Original review: May 5, 2022"
"Thelma of Lancaster, PA",Needs better battery technology and had to glue string back to clasp already with a hot glue gun. Paid a lot of money and had to fix it in the first 6 months. Considering looking for a different one in the future. Not sure I would recommend this one to friends or family. Idk!?,"Original review: May 2, 2022"
"Elizabeth of Durham, NC",Contents of purchase arrived intact and on time. However the lock box did not arrive with the correct 4 digit code. Once installed on the door it wouldn't open. The tech support said the company dropped the ball and said we should call a locksmith to remove the box. NO. Very disappointed in their response.,"Original review: March 30, 2022"
"Ricky of Princeton, NC",The first call I made to them was a nightmare. I got a salesman that thought I was too old or too dumb to figure him out. One of the final questions I asked him was if I bought the equipment from Walmart was it going to be the same monitoring. I already knew the answer and could have bought it cheaper at Walmart but he decided it was just easier to end the conversation and say I would have to talk to Walmart about that.... the guy was only looking to out talk me and make a quick sale. My second call was completely different and I managed to get all questions answered and order placed. This time the man on the other end was a true professional. Now just waiting on the equipment and hopefully all things will go well. 3 stars is not very fair but the first call was a 1 star and the second was a 5 so wish I had never called the first time.,"Original review: March 24, 2022"
"Michael of Lakeland, FL","I have not received my product as of yet. Oh, I do so however look forward to using these device for my mother. I will be pleased to do a follow-up as soon as I received my device which I as of yet have not.","Original review: March 22, 2022"
"Sean of Boulder Creek, CA",The issue I’ve had as a caregiver for my mom is the App… It is too hard to access and won’t even open up most of the time. Read the App Store reviews for more details. The unit itself is great and so easy to Use and there was no installation. Just charge it up and go!,"Original review: March 10, 2022"
"Judith of Las Vegas, NV","I was looking for a medical device that I could have with fall alert protection. Medical Guardian is supplying me with this protection. I was not happy with the first equipment I received but when called to set up the system, I was told of optional pieces. I am now thrilled with my small pendant and the system. Hopefully I will only have to press the alarm button once a month for a test.","Original review: Feb. 27, 2022"
"Carol of Brecksville, OH","I spoke to Allison. She was well informed and very polite. She answered all my questions and made me feel comfortable making my decision to go with Guardian.I received my Mini Guardian three days ago. I charged the battery then spoke with a women who went over my instructions. Very easy to set up. Thank you, Carol","Original review: Feb. 21, 2022"
"Thelma of Lancaster, PA",Wish the battery lasted longer than 5 days between charges! Even 2 more days would be nice. That way it's only once a week instead every 5 days which would make it easier to remember to do as you could pick 1 day a week and that would be designated charge your battery day!,"Original review: Feb. 17, 2022"
"Steve of Woodward, OK","It is very easy to set up. We got both the wrist unit and the neck pendant, so if we get tired of one, we can switch. Three dollars more per month to add that option. We are pleased and will recommend it to our friends. I sure hope that Medical Guardian does not sell my phone number or e-mail!!! THAT would piss me off. !!!!","Original review: Feb. 7, 2022"
"Donna of Bridgewater, MA",When they updated from G4 to G5 they changed out the machines and the wrist bands. The new wrist bands have no metal clasp. The have a plastic push nubbins. The don't stay on. My mom hates it. She called and they said they would send old bracelet. She got new ones again. Then I called and ask her to be switched back to 4G with the better bracelet. I was told it would ship next day. She got it and it the SAME one she already has. These are elderly people. Customer service is terrible. We are switching companies. Her neighbor is having the same issue. Shame on Medical Guardian for sending non senior citizen bracelets.,"Original review: Oct. 14, 2021"
"Andrew of Little Rock, AR","I buy few medicine and they give me on-time delivery. This is really good. they also reply me instantly. I think they are very responsive about the time. Overall, the experience is good and I would recommended everyone. Thanks.","Original review: Sept. 9, 2021"
"Stephanie of Saint Paul, MN","I was very excited about the Freedom Guardian Watch because it was everything I needed for my mother. I read the reviews and did my research then placed my order. This arrived in about 5 days and I was quick to charge it for the night so I could set it up in the morning. I woke up, made my coffee and called the company to activate it. Now, I live in the suburb of a large city and getting a phone signal is not a problem. This was a problem for the watch so the Tech asked if I could try standing outside to see if this would help. It seems that a metal roof or siding will block the signal (I have neither). Well, there is freezing rain and sub zero but I took one for the team and went outside (really the doorway and held the watch out further) this changed nothing. The watch would not connect to the signal of AT&T. ","Original review: Feb. 5, 2021"
"Paul of Long Beach, NY","My mother has the MiniGuardian, and recently fell (first incident with the unit). The system did in fact summon an ambulance crew (my mother pressed the button). But the crew could not get into the house for 15 minutes -- until I noticed flashing red lights from the window and opened the front door (I was actually home, but was pre-occupied in a different part of the house). What about the lockbox code? The crew was told by the dispatcher there was no such code. But after the incident, I called customer service and inquired about the lockbox code and the rep immediately told it to me! But the dispatcher (called the next day by pressing the button on the device) stated there was no lockbox code.","Original review: Dec. 3, 2020"
"Shannon of Wichita, KS","The Medical Guardian equipment was bulky and heavy, and my mom didn't like it; we tried two different products, so we gave it all a shot. I received confirmation that the returned equipment was received on 8/6/2020 and was told to allow a ridiculous 30 days for a refund. I went along, but when I hadn't received a refund my next credit card bill, I called on 9/21/20. Still no refund on 9/24, so I submitted a dispute via my credit card company. On 10/11/2020 the credit card company reversed its refund and told me the dispute was still in play. ","Original review: Oct. 21, 2020"
"Sarah of Manchester, ME","I order the home medical alert system for my mother end of 2019. I was told when I purchased the system and paid for a year of services that I had 30 days to try the product, and would receive a full refund if I was not satisfied. I made sure the warranty was for 30 days because this was a Christmas gift, and I knew my mother would be leaving for 2 weeks the day after Christmas, so it would be at least 2 weeks before she could try it out. I asked extensive questions about the warranty and return policy, and because of the answers I received I was comfortable paying for a year of services. That was a mistake.","Original review: Oct. 18, 2020"
"Elizabeth of Richmond, VA","I can't get up when I fall. I now have Medical Guardian's device that goes around my neck. It goes when I go. I haven't had to use it, but so far it's easy to handle. The Medical Guardian team has been very cooperative and very easy to deal with.","Original review: Sept. 3, 2020"
"Joseph of Wellington, FL","I'm 82 years old, living alone and I have issues as well as a pacemaker. I wanted to make sure I was covered and so I got a medical alert. I got a Medical Guardian and put a lockbox outside my house in case the fire department has to come in. Medical Guardian would notify them so at nights, I have their device around my neck and by the bed. During the day, I have my Medical Guardian watch on. Having it makes me feel secure and safe.","Original review: Sept. 2, 2020"
"Robert of Marion, AR","I had a ministroke and I would pass out and lose my balance. I live out in the country in Marion, Arkansas where phone service is not doing well. I got myself a cell phone that has a button that I push when I have an emergency. When I had a ministroke, I used the dial and somebody came by and helped me out. The ambulance came and took me to the hospital. When I got out, one of my children said something about getting me a push button. Now I have a device on my neck from Medical Guardian. The button is there for me when I need it. I also have a button in each room.","Original review: Sept. 2, 2020"
"Barbara of Oklahoma City, OK",I had several falls a few months ago and then I had to have a leg amputated ‘cause of an infection. I needed a medical alert device in case I fall some more. My experience with Medical Guardian has been really good. I have no problems at all. I’m glad I have it.,"Original review: Sept. 2, 2020"
"Rita of Temple, TX","My husband is on rehab and I live by myself at the present time, and my son felt that I would be safer having this device. He got it from Medical Guardian early part of July. I have not had to use it but when I first got it, I unconsciously activated it. The answering machine answered right away. I felt so embarrassed that I had to tell them that but I like that they responded readily. I wish though that the device could be in every room. The main machine is in the living room but in the bedroom, I would have to rely on just punching the button. Then, they would call the contact number but I would not be able to chat with them. I wear the button around my neck and I had to pull it up a little bit because it rested in my stomach. Every time I leaned against something, it got activated. I had to raise it up, so it would be closer to my breastbone.","Original review: Sept. 1, 2020"
"Virginia of Harrison, OH","My daughter bought me a Medical Guardian after I fell one night. Though I'm not too enthused about wearing the device, I wear it every day.","Original review: Sept. 1, 2020"
"Bob of Croton-On-Hudson, NY","I'm alone in my big house. If anything happens to me, I wanted a way of contacting someone other than by using a telephone. My neighbor checked with several companies and found Medical Guardian to be most successful. She came to my place with all the information and we established the account. So far, I don't like my Medical Guardian much. It keeps opening and the long thing that goes around my wrist keeps flapping around and getting into everything. I have to stop everything I'm doing and put it back with things that hold it down. Still, it's alright and I'm very satisfied with it.","Original review: Sept. 1, 2020"
"Sue of Anderson, IN","My father-in-law is elderly, lives alone and has been falling some. My brother-in-law looked online and Medical Guardian seemed to have the best rating and so, we went with it. My father-in-law and brother-in-law tested the button and everything is positive. We don't have any problems with it. Somebody came up and asked us about it and we've already given one referral.","Original review: Aug. 31, 2020"
"Rita of Poiniana, FL","So far this unit has performed as stated. I like that the monitor is loud and easily heard. I have the additional fall monitor for my husband which enables me to go out to the pool or grocery store knowing if he falls, I will be contacted by phone.","Original review: July 7, 2022"
"Lisa of Jacksonville, FL",When my dad died I notified them and was given a RMA to return the equipment. They received it 5 days later. I have provided the tracking number multiple times and they still have not processed my return almost 2 months after getting the equipment back. They are still billing me. I have contacted them several times and get a different story each time. They collected an additional payment and have not refunded it back to my card. The monitoring services were great but prepared for a nightmare when you try to cancel the service.,"Original review: June 18, 2022"
"Laura of Carlsbad, CA",My husband fell and the device did not recognize that he fell. Luckily he wasn’t hurt and neighbors saw him and did help him up. This is the second time that this happened. First time I excused as he was sitting in a chair and slipped to the ground. Thought maybe he was too low recognize that he fell.,"Original review: May 29, 2022"
"Patricia of Jeffersonville, IN",The price is reasonable compared to all others that I checked into and they walked me through the set up with no problems at all. I was a little disappointed that after I paid in full there were all kinds of discounts hitting my inbox.,"Original review: May 19, 2022"
"A. of San Jose, CA",Fall detection is a main part of this device in case of the stroke. I use this device for some time until noticed that fall detection doesn't work. It doesn't work even after upgrading to a new device. Customer representatives rare pick up the phone on Saturdays.,"Original review: May 18, 2022"
"Connie of Palmetto Bay, FL",I advised the initial person I spoke to I had a METAL roof..The device they sent (that I purchased) does NOT work with the metal roof situation -New device was to come Friday (2 days ago). Has not ... Have no idea what the device they are sending is-but feel the salesperson SHOULD have advised what I wanted would not work with metal roofs...It was CLEAR to him a few times CELL DOES NOT Work IN The house because of a metal roof--WHY didn't he tell me I couldn't get what I wanted?,"Original review: May 16, 2022"
"Robert of Fort Lauderdale, FL","I received my new medical watch a week ago and when I was setting it up I could not get the steps to work. Then called the rep that sold me the watch and he did not know how to setup the steps and he put me through to customer care, a lady got on the phone and she was unsure how to set it up so she put me on hold for 12 minutes then came back and tried a few things with me, still did not work, put me on hold again for another 11 minutes then came back and said someone would call me before 5pm today. Received a call a 4pm and was told they would be sending me a new watch and I would have to return the one I have to them. Overall I have wasted 2 hours of my day with the customer care and salesman","Original review: May 5, 2022"
"Thelma of Lancaster, PA",Needs better battery technology and had to glue string back to clasp already with a hot glue gun. Paid a lot of money and had to fix it in the first 6 months. Considering looking for a different one in the future. Not sure I would recommend this one to friends or family. Idk!?,"Original review: May 2, 2022"
"Elizabeth of Durham, NC",Contents of purchase arrived intact and on time. However the lock box did not arrive with the correct 4 digit code. Once installed on the door it wouldn't open. The tech support said the company dropped the ball and said we should call a locksmith to remove the box. NO. Very disappointed in their response.,"Original review: March 30, 2022"
"Ricky of Princeton, NC",The first call I made to them was a nightmare. I got a salesman that thought I was too old or too dumb to figure him out. One of the final questions I asked him was if I bought the equipment from Walmart was it going to be the same monitoring. I already knew the answer and could have bought it cheaper at Walmart but he decided it was just easier to end the conversation and say I would have to talk to Walmart about that.... the guy was only looking to out talk me and make a quick sale. My second call was completely different and I managed to get all questions answered and order placed. This time the man on the other end was a true professional. Now just waiting on the equipment and hopefully all things will go well. 3 stars is not very fair but the first call was a 1 star and the second was a 5 so wish I had never called the first time.,"Original review: March 24, 2022"
"Michael of Lakeland, FL","I have not received my product as of yet. Oh, I do so however look forward to using these device for my mother. I will be pleased to do a follow-up as soon as I received my device which I as of yet have not.","Original review: March 22, 2022"
"Sean of Boulder Creek, CA",The issue I’ve had as a caregiver for my mom is the App… It is too hard to access and won’t even open up most of the time. Read the App Store reviews for more details. The unit itself is great and so easy to Use and there was no installation. Just charge it up and go!,"Original review: March 10, 2022"
"Judith of Las Vegas, NV","I was looking for a medical device that I could have with fall alert protection. Medical Guardian is supplying me with this protection. I was not happy with the first equipment I received but when called to set up the system, I was told of optional pieces. I am now thrilled with my small pendant and the system. Hopefully I will only have to press the alarm button once a month for a test.","Original review: Feb. 27, 2022"
"Carol of Brecksville, OH","I spoke to Allison. She was well informed and very polite. She answered all my questions and made me feel comfortable making my decision to go with Guardian.I received my Mini Guardian three days ago. I charged the battery then spoke with a women who went over my instructions. Very easy to set up. Thank you, Carol","Original review: Feb. 21, 2022"
"Thelma of Lancaster, PA",Wish the battery lasted longer than 5 days between charges! Even 2 more days would be nice. That way it's only once a week instead every 5 days which would make it easier to remember to do as you could pick 1 day a week and that would be designated charge your battery day!,"Original review: Feb. 17, 2022"
"Steve of Woodward, OK","It is very easy to set up. We got both the wrist unit and the neck pendant, so if we get tired of one, we can switch. Three dollars more per month to add that option. We are pleased and will recommend it to our friends. I sure hope that Medical Guardian does not sell my phone number or e-mail!!! THAT would piss me off. !!!!","Original review: Feb. 7, 2022"
"Donna of Bridgewater, MA",When they updated from G4 to G5 they changed out the machines and the wrist bands. The new wrist bands have no metal clasp. The have a plastic push nubbins. The don't stay on. My mom hates it. She called and they said they would send old bracelet. She got new ones again. Then I called and ask her to be switched back to 4G with the better bracelet. I was told it would ship next day. She got it and it the SAME one she already has. These are elderly people. Customer service is terrible. We are switching companies. Her neighbor is having the same issue. Shame on Medical Guardian for sending non senior citizen bracelets.,"Original review: Oct. 14, 2021"
"Andrew of Little Rock, AR","I buy few medicine and they give me on-time delivery. This is really good. they also reply me instantly. I think they are very responsive about the time. Overall, the experience is good and I would recommended everyone. Thanks.","Original review: Sept. 9, 2021"
"Stephanie of Saint Paul, MN","I was very excited about the Freedom Guardian Watch because it was everything I needed for my mother. I read the reviews and did my research then placed my order. This arrived in about 5 days and I was quick to charge it for the night so I could set it up in the morning. I woke up, made my coffee and called the company to activate it. Now, I live in the suburb of a large city and getting a phone signal is not a problem. This was a problem for the watch so the Tech asked if I could try standing outside to see if this would help. It seems that a metal roof or siding will block the signal (I have neither). Well, there is freezing rain and sub zero but I took one for the team and went outside (really the doorway and held the watch out further) this changed nothing. The watch would not connect to the signal of AT&T. ","Original review: Feb. 5, 2021"
"Paul of Long Beach, NY","My mother has the MiniGuardian, and recently fell (first incident with the unit). The system did in fact summon an ambulance crew (my mother pressed the button). But the crew could not get into the house for 15 minutes -- until I noticed flashing red lights from the window and opened the front door (I was actually home, but was pre-occupied in a different part of the house). What about the lockbox code? The crew was told by the dispatcher there was no such code. But after the incident, I called customer service and inquired about the lockbox code and the rep immediately told it to me! But the dispatcher (called the next day by pressing the button on the device) stated there was no lockbox code.","Original review: Dec. 3, 2020"
"Shannon of Wichita, KS","The Medical Guardian equipment was bulky and heavy, and my mom didn't like it; we tried two different products, so we gave it all a shot. I received confirmation that the returned equipment was received on 8/6/2020 and was told to allow a ridiculous 30 days for a refund. I went along, but when I hadn't received a refund my next credit card bill, I called on 9/21/20. Still no refund on 9/24, so I submitted a dispute via my credit card company. On 10/11/2020 the credit card company reversed its refund and told me the dispute was still in play. ","Original review: Oct. 21, 2020"
"Sarah of Manchester, ME","I order the home medical alert system for my mother end of 2019. I was told when I purchased the system and paid for a year of services that I had 30 days to try the product, and would receive a full refund if I was not satisfied. I made sure the warranty was for 30 days because this was a Christmas gift, and I knew my mother would be leaving for 2 weeks the day after Christmas, so it would be at least 2 weeks before she could try it out. I asked extensive questions about the warranty and return policy, and because of the answers I received I was comfortable paying for a year of services. That was a mistake.","Original review: Oct. 18, 2020"
"Elizabeth of Richmond, VA","I can't get up when I fall. I now have Medical Guardian's device that goes around my neck. It goes when I go. I haven't had to use it, but so far it's easy to handle. The Medical Guardian team has been very cooperative and very easy to deal with.","Original review: Sept. 3, 2020"
"Joseph of Wellington, FL","I'm 82 years old, living alone and I have issues as well as a pacemaker. I wanted to make sure I was covered and so I got a medical alert. I got a Medical Guardian and put a lockbox outside my house in case the fire department has to come in. Medical Guardian would notify them so at nights, I have their device around my neck and by the bed. During the day, I have my Medical Guardian watch on. Having it makes me feel secure and safe.","Original review: Sept. 2, 2020"
"Robert of Marion, AR","I had a ministroke and I would pass out and lose my balance. I live out in the country in Marion, Arkansas where phone service is not doing well. I got myself a cell phone that has a button that I push when I have an emergency. When I had a ministroke, I used the dial and somebody came by and helped me out. The ambulance came and took me to the hospital. When I got out, one of my children said something about getting me a push button. Now I have a device on my neck from Medical Guardian. The button is there for me when I need it. I also have a button in each room.","Original review: Sept. 2, 2020"
"Barbara of Oklahoma City, OK",I had several falls a few months ago and then I had to have a leg amputated ‘cause of an infection. I needed a medical alert device in case I fall some more. My experience with Medical Guardian has been really good. I have no problems at all. I’m glad I have it.,"Original review: Sept. 2, 2020"
"Rita of Temple, TX","My husband is on rehab and I live by myself at the present time, and my son felt that I would be safer having this device. He got it from Medical Guardian early part of July. I have not had to use it but when I first got it, I unconsciously activated it. The answering machine answered right away. I felt so embarrassed that I had to tell them that but I like that they responded readily. I wish though that the device could be in every room. The main machine is in the living room but in the bedroom, I would have to rely on just punching the button. Then, they would call the contact number but I would not be able to chat with them. I wear the button around my neck and I had to pull it up a little bit because it rested in my stomach. Every time I leaned against something, it got activated. I had to raise it up, so it would be closer to my breastbone.","Original review: Sept. 1, 2020"
"Virginia of Harrison, OH","My daughter bought me a Medical Guardian after I fell one night. Though I'm not too enthused about wearing the device, I wear it every day.","Original review: Sept. 1, 2020"
"Bob of Croton-On-Hudson, NY","I'm alone in my big house. If anything happens to me, I wanted a way of contacting someone other than by using a telephone. My neighbor checked with several companies and found Medical Guardian to be most successful. She came to my place with all the information and we established the account. So far, I don't like my Medical Guardian much. It keeps opening and the long thing that goes around my wrist keeps flapping around and getting into everything. I have to stop everything I'm doing and put it back with things that hold it down. Still, it's alright and I'm very satisfied with it.","Original review: Sept. 1, 2020"
"Sue of Anderson, IN","My father-in-law is elderly, lives alone and has been falling some. My brother-in-law looked online and Medical Guardian seemed to have the best rating and so, we went with it. My father-in-law and brother-in-law tested the button and everything is positive. We don't have any problems with it. Somebody came up and asked us about it and we've already given one referral.","Original review: Aug. 31, 2020"
"Rita of Poiniana, FL","So far this unit has performed as stated. I like that the monitor is loud and easily heard. I have the additional fall monitor for my husband which enables me to go out to the pool or grocery store knowing if he falls, I will be contacted by phone.","Original review: July 7, 2022"
"Lisa of Jacksonville, FL",When my dad died I notified them and was given a RMA to return the equipment. They received it 5 days later. I have provided the tracking number multiple times and they still have not processed my return almost 2 months after getting the equipment back. They are still billing me. I have contacted them several times and get a different story each time. They collected an additional payment and have not refunded it back to my card. The monitoring services were great but prepared for a nightmare when you try to cancel the service.,"Original review: June 18, 2022"
"Laura of Carlsbad, CA",My husband fell and the device did not recognize that he fell. Luckily he wasn’t hurt and neighbors saw him and did help him up. This is the second time that this happened. First time I excused as he was sitting in a chair and slipped to the ground. Thought maybe he was too low recognize that he fell.,"Original review: May 29, 2022"
"Patricia of Jeffersonville, IN",The price is reasonable compared to all others that I checked into and they walked me through the set up with no problems at all. I was a little disappointed that after I paid in full there were all kinds of discounts hitting my inbox.,"Original review: May 19, 2022"
"A. of San Jose, CA",Fall detection is a main part of this device in case of the stroke. I use this device for some time until noticed that fall detection doesn't work. It doesn't work even after upgrading to a new device. Customer representatives rare pick up the phone on Saturdays.,"Original review: May 18, 2022"
"Connie of Palmetto Bay, FL",I advised the initial person I spoke to I had a METAL roof..The device they sent (that I purchased) does NOT work with the metal roof situation -New device was to come Friday (2 days ago). Has not ... Have no idea what the device they are sending is-but feel the salesperson SHOULD have advised what I wanted would not work with metal roofs...It was CLEAR to him a few times CELL DOES NOT Work IN The house because of a metal roof--WHY didn't he tell me I couldn't get what I wanted?,"Original review: May 16, 2022"
"Robert of Fort Lauderdale, FL","I received my new medical watch a week ago and when I was setting it up I could not get the steps to work. Then called the rep that sold me the watch and he did not know how to setup the steps and he put me through to customer care, a lady got on the phone and she was unsure how to set it up so she put me on hold for 12 minutes then came back and tried a few things with me, still did not work, put me on hold again for another 11 minutes then came back and said someone would call me before 5pm today. Received a call a 4pm and was told they would be sending me a new watch and I would have to return the one I have to them. Overall I have wasted 2 hours of my day with the customer care and salesman","Original review: May 5, 2022"
"Thelma of Lancaster, PA",Needs better battery technology and had to glue string back to clasp already with a hot glue gun. Paid a lot of money and had to fix it in the first 6 months. Considering looking for a different one in the future. Not sure I would recommend this one to friends or family. Idk!?,"Original review: May 2, 2022"
"Elizabeth of Durham, NC",Contents of purchase arrived intact and on time. However the lock box did not arrive with the correct 4 digit code. Once installed on the door it wouldn't open. The tech support said the company dropped the ball and said we should call a locksmith to remove the box. NO. Very disappointed in their response.,"Original review: March 30, 2022"
"Ricky of Princeton, NC",The first call I made to them was a nightmare. I got a salesman that thought I was too old or too dumb to figure him out. One of the final questions I asked him was if I bought the equipment from Walmart was it going to be the same monitoring. I already knew the answer and could have bought it cheaper at Walmart but he decided it was just easier to end the conversation and say I would have to talk to Walmart about that.... the guy was only looking to out talk me and make a quick sale. My second call was completely different and I managed to get all questions answered and order placed. This time the man on the other end was a true professional. Now just waiting on the equipment and hopefully all things will go well. 3 stars is not very fair but the first call was a 1 star and the second was a 5 so wish I had never called the first time.,"Original review: March 24, 2022"
"Michael of Lakeland, FL","I have not received my product as of yet. Oh, I do so however look forward to using these device for my mother. I will be pleased to do a follow-up as soon as I received my device which I as of yet have not.","Original review: March 22, 2022"
"Sean of Boulder Creek, CA",The issue I’ve had as a caregiver for my mom is the App… It is too hard to access and won’t even open up most of the time. Read the App Store reviews for more details. The unit itself is great and so easy to Use and there was no installation. Just charge it up and go!,"Original review: March 10, 2022"
"Judith of Las Vegas, NV","I was looking for a medical device that I could have with fall alert protection. Medical Guardian is supplying me with this protection. I was not happy with the first equipment I received but when called to set up the system, I was told of optional pieces. I am now thrilled with my small pendant and the system. Hopefully I will only have to press the alarm button once a month for a test.","Original review: Feb. 27, 2022"
"Carol of Brecksville, OH","I spoke to Allison. She was well informed and very polite. She answered all my questions and made me feel comfortable making my decision to go with Guardian.I received my Mini Guardian three days ago. I charged the battery then spoke with a women who went over my instructions. Very easy to set up. Thank you, Carol","Original review: Feb. 21, 2022"
"Thelma of Lancaster, PA",Wish the battery lasted longer than 5 days between charges! Even 2 more days would be nice. That way it's only once a week instead every 5 days which would make it easier to remember to do as you could pick 1 day a week and that would be designated charge your battery day!,"Original review: Feb. 17, 2022"
